ds,yhat,yhat_lower,yhat_upper
2015-01-01,4642.873090416556,4541.579172543258,4738.51518660342
2015-02-01,4385.572397108125,4287.8531131131895,4487.226962513315
2015-03-01,4120.145378707411,4029.4044338632507,4215.991190142784
2015-04-01,3608.8583535533453,3504.482117144289,3711.4689077857915
2015-05-01,3095.2617766442954,2984.84610000284,3200.7712292139386
2015-06-01,2579.6279201323896,2482.94628314025,2689.267383066664
2015-07-01,2064.715640586517,1970.856644941834,2160.6920332723334
2015-08-01,2062.229461855183,1959.2037952339267,2154.578969575141
2015-09-01,2571.2839892964575,2472.8258318370167,2675.824213150389
2015-10-01,3591.936796331994,3485.9488865687417,3688.8623279062163
2015-11-01,4104.782570677188,4006.036088231941,4200.490090567802
2015-12-01,4619.676052678699,4517.943347540704,4720.049041663277
2016-01-01,4766.375314371873,4666.9215163588315,4867.245045739616
2016-02-01,4511.140932034874,4409.778409145211,4609.207915077171
2016-03-01,4240.661276875282,4141.234467345566,4344.160847131002
2016-04-01,3719.7407763062197,3616.5265524716488,3815.5668720141143
2016-05-01,3201.06264439226,3096.8299246458055,3298.3884530396394
2016-06-01,2684.352334044283,2581.565634000507,2788.346302128133
2016-07-01,2166.9248397715705,2074.3102493337105,2265.8950319147916
2016-08-01,2168.7202436397147,2069.376998678234,2277.160504029081
2016-09-01,2690.5931972743624,2586.658885551842,2785.007812509597
2016-10-01,3732.473338333339,3636.563832117273,3835.6083491790796
2016-11-01,4250.82137836579,4150.685454711466,4349.815279186858
2016-12-01,4767.111959037109,4675.1333277598815,4867.350120633678
2017-01-01,4851.03666828652,4754.193074872856,4956.173775689173
2017-02-01,4588.480073990116,4484.877246163561,4689.334335317826
2017-03-01,4352.184590548065,4250.72485872237,4454.9838862596525
2017-04-01,3834.2454691831695,3739.546621269421,3937.260162464977
2017-05-01,3317.18787803762,3223.1087887933186,3418.4387882923124
2017-06-01,2800.8116208067136,2696.8269746410597,2900.012246528037
2017-07-01,2284.1347434792665,2178.1252085866313,2383.2377072361396
2017-08-01,2284.6021248324805,2183.29179347036,2384.7993215957144
2017-09-01,2802.351856739576,2701.079789449033,2911.463735951409
2017-10-01,3837.3762351278688,3738.590827108913,3936.088487761313
2017-11-01,4353.644104406456,4252.141064014668,4457.816533899165
2017-12-01,4869.173930848876,4772.04683551409,4971.798930865057
2018-01-01,4974.004731733263,4872.221058226608,5077.721053853688
2018-02-01,4714.260711987561,4616.083436075509,4817.229538887069
2018-03-01,4463.465114409703,4357.2741607052485,4552.528938389282
2018-04-01,3948.7363122641464,3851.3077208839313,4048.812741787862
2018-05-01,3433.3729383096206,3334.2985633727276,3537.7777429576004
2018-06-01,2917.3554990574407,2817.894773281401,3013.2731879013672
2018-07-01,2401.5182483060935,2310.181213095098,2498.887593564971
2018-08-01,2400.559437536897,2296.8872630154815,2505.2960287075944
2018-09-01,2914.0357578460716,2814.071469885619,3016.502036723123
2018-10-01,3941.9807111009145,3850.5294209382423,4045.6233570964496
2018-11-01,4456.412018074761,4361.435968980547,4556.485027523378
2018-12-01,4971.476957364252,4873.9700438663795,5062.269841052328
2019-01-01,5097.239277838457,4992.301802224769,5193.5164237288445
2019-02-01,4839.937047519708,4731.910393797593,4939.590419028165
2019-03-01,4574.597216553115,4478.941024498012,4675.783341057811
2019-04-01,4063.406720343787,3962.225239823817,4162.634928413515
2019-05-01,3549.903558542611,3454.978835793456,3653.8825533532686
2019-06-01,3034.366245490136,2930.8084410028537,3137.5554629882104
2019-07-01,2519.572664962824,2411.53354684998,2620.3372581438703
2019-08-01,2517.209141884051,2416.923425444439,2622.2179811832802
2019-09-01,3026.3863249777733,2930.252965696622,3119.8935920876033
2019-10-01,4047.159353591633,3950.8748321220205,4152.096332930066
2019-11-01,4560.131808095134,4460.147359940904,4667.0006298937415
2019-12-01,5075.1478837981995,4977.120682673287,5169.8254582362215
2020-01-01,5221.973825055906,5117.344485011221,5326.749113021411
2020-02-01,4966.866122283374,4865.93174425505,5069.893806013503
2020-03-01,4696.51903073115,4598.301461065984,4794.603388700897
2020-04-01,4175.740236087263,4080.105577803152,4280.186524376516
2020-05-01,3657.1992398352404,3554.1082651268075,3755.9202661039417
2020-06-01,3140.6306363380354,3043.93961312007,3245.8786044317258
2020-07-01,2623.4311000559183,2522.347748508846,2725.772072359666
2020-08-01,2625.4620605142495,2519.0564362986265,2727.4741866396844
2020-09-01,3147.570571083292,3046.5670873283448,3253.9849483811217
2020-10-01,4190.145695798506,4085.835946561514,4292.767099077575
2020-11-01,4709.2118856091165,4610.828878336299,4809.074797890857
2020-12-01,5226.197449936717,5127.393764381988,5325.402121050202
2021-01-01,5310.8403083747235,5214.312865679561,5416.273003824467
2021-02-01,5049.002166543993,4942.19768281128,5151.117127341635
2021-03-01,4813.355607909443,4709.996705323759,4916.9101339079825
2021-04-01,4296.134939010164,4196.211864418292,4394.892360699608
2021-05-01,3779.7726248828385,3674.8118774060226,3876.4651300380806
2021-06-01,3264.1167822016637,3158.5464425840846,3366.229142883727
2021-07-01,2748.1370802447464,2644.2953574259013,2851.95250335379
2021-08-01,2749.3248754454307,2647.6987832458494,2852.5833927427993
2021-09-01,3267.7950211999096,3160.131842135777,3363.8219895861803
2021-10-01,4303.516631332195,4200.4790740691615,4405.801529551459
2021-11-01,4820.504973412731,4716.199367085832,4914.515106218913
2021-12-01,5336.732030133962,5235.781340349837,5438.952433009118
2022-01-01,5442.283302306447,5331.174921642203,5538.887399692638
2022-02-01,5183.259757547682,5080.273164759994,5283.587951800264
2022-03-01,4933.114911571023,4832.762613615166,5023.93770217507
2022-04-01,4419.106584307168,4312.295592055728,4530.5167881815505
2022-05-01,3904.4404440452677,3802.7850837149385,4004.576824675851
2022-06-01,3389.1434796086137,3284.6979718720104,3488.139755808027
2022-07-01,2874.0034625498265,2774.723821967718,2976.9247501373816
2022-08-01,2873.7651032436224,2778.30356986359,2977.2109114190066
2022-09-01,3387.9618750810014,3282.667669899491,3489.490566533264
2022-10-01,4416.6040394922775,4308.020429809228,4510.0202484732645
2022-11-01,4931.755797994306,4830.487993686055,5031.975483816883
2022-12-01,5447.517923587164,5350.235676152031,5557.271020571169
2023-01-01,5574.000669536081,5471.055109156912,5664.810072688299
2023-02-01,5317.418864692133,5224.95466626637,5414.392605449325
2023-03-01,5052.641164904588,4956.4293165856025,5144.417570495969
2023-04-01,4542.073028215068,4442.055522621242,4637.012151096328
2023-05-01,4029.1721498200986,3926.8665568013785,4123.954320646533
2023-06-01,3514.257196287333,3414.8797496451452,3613.6872149027718
2023-07-01,3000.040629301928,2893.6452742990596,3100.1440071719776
2023-08-01,2998.273353549742,2899.756119573713,3096.7750535237365
2023-09-01,3508.046783970155,3411.923091663349,3609.5229174028455
2023-10-01,4529.396826125946,4431.03981836628,4632.167207559595
2023-11-01,5042.9630767619765,4939.510935279385,5139.743973768425
2023-12-01,5558.553793883649,5458.357695392522,5660.005174190174
2024-01-01,5705.973531273731,5604.907034712368,5808.433502716607
2024-02-01,5451.459624633893,5350.175268738629,5544.765993396121
2024-03-01,5181.653962868214,5083.673010984975,5286.71464843399
2024-04-01,4661.453937996149,4554.301879842665,4766.622877642022
2024-05-01,4143.473041523379,4044.1628750988243,4239.311995290102
2024-06-01,3627.4832077979927,3522.905817414566,3725.408087595887
2024-07-01,3110.752948966505,3014.1981419966446,3217.7539597128734
2024-08-01,3113.2688294572026,3002.971050978894,3206.5111310975994
2024-09-01,3635.8622600584545,3534.5095716939577,3730.6609011701303
2024-10-01,4678.439636891667,4579.95591154551,4777.532846526954
2024-11-01,5197.508153890774,5099.467643391625,5294.38502424
2024-12-01,5714.495970336298,5624.392366387288,5815.96850408031
2024-12-31,5838.190617151818,5732.409078037226,5949.568496232974
2025-01-31,5585.368443746613,5484.2183953111835,5679.855057654113
2025-02-28,5291.005942341759,5189.489505255223,5393.480917270786
2025-03-31,4788.009679274078,4684.79352491628,4886.631163567514
2025-04-30,4278.8410385694115,4176.961418353867,4373.171876011595
2025-05-31,3764.7530720199597,3664.1863796235994,3864.4554562832204
2025-06-30,3252.613904352551,3160.0438660096793,3351.230752632182
2025-07-31,3247.463675631918,3150.7102389845068,3350.39547296126
2025-08-31,3747.9434905661647,3648.0320432645913,3844.2428651706555
2025-09-30,4754.1163352203985,4648.366422880544,4848.9508306485295
2025-10-31,5265.292882966693,5164.843960947314,5365.898697556974
2025-11-30,5781.409198982075,5685.718302185567,5880.694446079959
