ds,yhat,yhat_lower,yhat_upper
2015-01-01,176730.63471433352,172819.47111981525,180766.70721973738
2015-02-01,165177.90681788855,161188.93054587694,169155.9901020946
2015-03-01,183361.4138805427,179217.38959795804,187144.46007662293
2015-04-01,187800.26381336083,183777.96611218908,191872.2983118524
2015-05-01,198925.82210398448,194704.23606960283,202501.95984161136
2015-06-01,221154.86500968036,216758.24516550865,225237.80232383372
2015-07-01,232208.85481446187,228154.49200004747,236134.87520882435
2015-08-01,232045.39421570377,227828.473115955,236085.8449692669
2015-09-01,209605.66337656442,205664.96198099648,213589.85119417173
2015-10-01,187089.55946974017,183020.9470188885,191240.90675884392
2015-11-01,175630.5963879497,171710.8171746416,179712.8369490435
2015-12-01,170851.55902411568,166764.3606459883,175027.15336850207
2016-01-01,186415.5641854809,182389.150427283,190519.2941510923
2016-02-01,174678.8643602024,170540.76381222194,178509.39438830066
2016-03-01,193213.826413392,189452.34652414004,197743.55544765884
2016-04-01,197510.37515050947,193320.89527578824,201486.8849922871
2016-05-01,208709.32852144807,204632.29638057758,212517.29259986265
2016-06-01,231433.5558010057,227262.14112688333,235465.15316828806
2016-07-01,242706.36826762205,238645.74306420682,247066.7678017458
2016-08-01,242528.7913668421,238429.96209134496,246456.06676264125
2016-09-01,219365.69137015095,215100.27580730178,223216.63589008342
2016-10-01,196277.33510410888,192163.38753226076,200351.7973581354
2016-11-01,184748.50482692505,180683.35967706662,189058.32971860986
2016-12-01,180127.97045012368,175803.2236664928,183939.7226000987
2017-01-01,197311.8733316954,193324.450686225,201142.04903764342
2017-02-01,186217.60453500552,181950.78632710158,190214.91155745124
2017-03-01,203342.67059027636,199130.78101345612,207311.25178473748
2017-04-01,207705.89849807858,203499.32578350944,211847.1652391028
2017-05-01,218902.5601164467,214904.63486533446,222975.1991438965
2017-06-01,241485.4434742447,237275.24337544787,245573.59252131602
2017-07-01,252699.55937582918,248669.7981492801,256828.357514953
2017-08-01,252587.77439277957,248734.7368058389,256818.60131855533
2017-09-01,229711.00820174714,225515.9232633409,233518.3135807931
2017-10-01,206865.4264822442,202437.96885735748,210938.60599587846
2017-11-01,195421.65873851813,191388.790767186,199617.95638779993
2017-12-01,190811.0788647606,186739.76036298941,194931.4903388897
2018-01-01,207519.66325109274,203595.59762640254,212253.35275138298
2018-02-01,196241.642914221,192200.88132522113,200191.39719387834
2018-03-01,213948.0673599982,209732.74574304686,217995.79491038187
2018-04-01,218410.75732887952,214194.64186173267,222348.76755503553
2018-05-01,229633.2802037832,225733.32188835906,233778.6709054111
2018-06-01,252103.0081425874,248160.49358889085,256066.76190049364
2018-07-01,263294.37981811434,259374.06672847478,267243.91230350506
2018-08-01,263220.96036936855,259290.34736591094,267447.86446014704
2018-09-01,240624.63539830895,236375.9591335987,244912.70151001395
2018-10-01,218007.93515086846,214139.80290766887,222376.99396611348
2018-11-01,206626.77991785115,202797.88447695973,210669.75352490894
2018-12-01,202017.17040471177,198132.55929251044,206112.50157498848
2019-01-01,218241.16050978246,214462.82410453266,222272.4088710684
2019-02-01,206804.5229110762,202640.33053605334,210610.0381878696
2019-03-01,225101.31240950336,221209.22919152968,228936.06014889077
2019-04-01,229665.58218193325,225507.48372381946,233831.07863142953
2019-05-01,240912.51451089044,237009.28738827343,244698.42901743093
2019-06-01,263266.97727313015,259115.14688970696,267663.62398708554
2019-07-01,274463.0642264623,270222.9170211591,278227.3581940379
2019-08-01,274446.4373478704,270686.97340253886,278638.10233004007
2019-09-01,252153.5402289023,247791.68689826824,256376.87064056803
2019-10-01,229779.53304260597,225491.25378122905,233879.75165621817
2019-11-01,218484.36557498088,214470.15561685423,222649.47321764124
2019-12-01,213863.84009582002,209730.91127503177,217935.73346878437
2020-01-01,229591.64079882213,225426.88474792364,233316.5831660967
2020-02-01,218018.7365151821,214272.80255879313,221995.89385758707
2020-03-01,236715.53314125483,232828.9784301054,241020.70422984712
2020-04-01,241185.0774562821,237039.37748008754,245121.68996404635
2020-05-01,252551.44586995905,248438.83939286097,256745.62192852382
2020-06-01,275448.6686936767,271040.52325299033,279532.9997532754
2020-07-01,286899.08003570104,282698.95917776105,291119.27017392
2020-08-01,286905.02197284915,283064.916820445,290927.7461696299
2020-09-01,263908.83481985884,259808.96857381883,268053.37668424007
2020-10-01,240994.8192480595,236820.21229669475,245028.44477471465
2020-11-01,229646.14102159347,225770.03241287288,233541.9686045579
2020-12-01,225199.94733903158,221097.60618578747,229399.83254620046
2021-01-01,242564.00223811402,238411.0029940936,246684.81982254368
2021-02-01,231677.98237932698,227636.9851985205,235769.17325967923
2021-03-01,248991.1442494846,245353.7214925257,252965.37580897892
2021-04-01,253562.62109519067,249233.6983091779,257625.10946868878
2021-05-01,264960.81363432884,260933.49112498053,269093.5920640953
2021-06-01,287762.5695807986,283792.16213371255,291527.77854647546
2021-07-01,299188.49766497605,295049.846647638,303368.5497619842
2021-08-01,299246.18254235387,295262.0884228347,303576.912627844
2021-09-01,276538.8862117541,272526.22575689363,280952.31589989224
2021-10-01,253872.83319296036,250195.84776104335,257965.16104386564
2021-11-01,242614.57843997303,238668.18926381276,246766.69989945478
2021-12-01,238183.5265168537,234058.71475139534,242434.5486555391
2022-01-01,255077.62311884578,250998.06876146988,259239.38686125274
2022-02-01,244031.18344204492,239593.80743727056,247975.27904876645
2022-03-01,261946.77751626985,258001.4740306591,266186.9715091509
2022-04-01,266638.4688835308,262777.5522979451,270806.23150612024
2022-05-01,278097.3076980786,274208.3207742832,282090.89620794187
2022-06-01,300811.22877451964,296680.5316529495,304930.16696844285
2022-07-01,312238.9163896913,308246.18595375336,316277.6912545637
2022-08-01,312378.5510760337,308402.38663746475,316426.9155502488
2022-09-01,289995.2803748837,285906.18324267614,293962.75876953715
2022-10-01,267584.76167896483,263221.31105020357,271369.4628058692
2022-11-01,256416.6607158579,252278.53336877006,260360.05007349895
2022-12-01,251997.3988980949,247821.90960220853,255523.4942161626
2023-01-01,268445.23218029126,264297.75802939746,272681.06361473416
2023-02-01,257232.43775870747,253015.81416277462,261258.3730900048
2023-03-01,275722.98150833085,271546.8644507677,279851.9822933004
2023-04-01,280501.76491600845,276416.3798065343,284546.32617882785
2023-05-01,291956.2910855288,288056.20946210955,296060.2482692906
2023-06-01,314525.26748302067,310701.9869826263,318486.96730019903
2023-07-01,325908.22518308554,321761.6759823171,329824.70822151995
2023-08-01,326084.69807612244,322097.6244331172,330210.31304353627
2023-09-01,303984.90072877775,300114.2873567072,308006.6173368344
2023-10-01,281797.7642892162,277690.5876121794,285499.56272987265
2023-11-01,270678.7342569319,266643.4309885262,274769.56170830934
2023-12-01,266228.66436036344,262394.1084500182,269990.2210233861
2024-01-01,282132.60249871336,278207.2415926602,286176.250487016
2024-02-01,270735.8356504111,266662.5600357895,274913.148635708
2024-03-01,289588.7995207793,285162.7025780371,293865.1585622042
2024-04-01,294225.2812348781,290424.45845051325,298393.841605697
2024-05-01,305753.201970237,301897.127081027,309650.07627098676
2024-06-01,328817.3621930283,324801.9121376214,332484.25758833985
2024-07-01,340419.14202406263,336268.0479274982,344181.1267859283
2024-08-01,340581.4980665167,336709.2578201591,344818.3282477443
2024-09-01,317741.7250188401,313734.16294190445,322163.8332191891
2024-10-01,294966.26580022875,290724.5220667428,299021.68279020226
2024-11-01,283760.76247205766,279598.06512767856,287770.64168914995
2024-12-01,279453.1251426874,275138.53575589834,283377.47436010226
2024-12-31,295803.48745827016,291719.2800834658,299884.6066026746
2025-01-31,284247.70652887435,280264.8609846597,288347.54084039765
2025-02-28,303808.44022694457,299864.3849984637,307950.14298127627
2025-03-31,308668.039905699,304300.0179814336,312444.39886706416
2025-04-30,320042.788441129,315855.25807276496,324017.43141686125
2025-05-31,342247.67442616564,338193.3576261215,346129.84904085734
2025-06-30,353496.05248921254,349557.94903481315,357634.42251811514
2025-07-31,353707.67233808216,349780.5769065562,357928.70338866784
2025-08-31,332148.48529883695,327814.83524859144,336303.29250395123
2025-09-30,310356.4253673598,306297.29905328376,314535.2841496899
2025-10-31,299259.553654045,295086.53277199797,303416.07352403563
2025-11-30,294666.85549641884,290893.2948274115,298684.0026550343
