ds,yhat,yhat_lower,yhat_upper
2015-01-01,884.4860089812405,867.7910307239164,902.8077414719603
2015-02-01,861.9926933471761,846.4102580654243,878.3778525516955
2015-03-01,884.32614704475,867.376860958061,902.0925402021043
2015-04-01,937.3300826615355,919.2712957198903,953.8960282836103
2015-05-01,990.5713755942159,973.9004794121545,1008.2461269606702
2015-06-01,1097.1439631260127,1081.1393420842082,1114.1061328687254
2015-07-01,1203.6630141866638,1188.0910147117136,1221.5806355764312
2015-08-01,1203.4140743472349,1187.4641625939587,1220.331397805375
2015-09-01,1096.4910365956487,1079.5756012724025,1112.5574435538872
2015-10-01,989.1365192600645,971.5407681040381,1005.1996747866309
2015-11-01,934.6388052916226,917.7263177353635,951.2203228445011
2015-12-01,880.0218370819324,863.9211638953936,896.8427658345182
2016-01-01,922.2070428134516,904.3966011236938,938.5569149748061
2016-02-01,899.1086951176816,881.3087321769178,915.1881834528043
2016-03-01,922.1366771459748,905.5373068261381,939.7671296453091
2016-04-01,975.9277320051249,958.2965314071605,992.0787043650015
2016-05-01,1029.5126387021867,1011.998485168735,1047.3998575206708
2016-06-01,1137.7700947388962,1121.2915789009505,1155.8868920736534
2016-07-01,1246.119682163535,1229.543186897234,1263.5948191129567
2016-08-01,1245.0621011187166,1228.4219132836643,1263.1154128967785
2016-09-01,1134.697680312619,1117.1623612994172,1152.2135559799372
2016-10-01,1024.7907898544306,1007.8964954865377,1042.068842290943
2016-11-01,969.9917594154228,953.8595601547695,987.3634985280192
2016-12-01,915.3379525977095,897.7109759761652,932.3890617879293
2017-01-01,966.1316573285802,948.9753026768659,982.7486301056388
2017-02-01,945.3299883819592,928.7376647949046,961.9440484346376
2017-03-01,962.8189490612186,945.7634761708968,979.0863057779578
2017-04-01,1016.5376450999777,998.7403723157315,1033.2166534683995
2017-05-01,1070.1732601027688,1053.3229587572835,1087.0949845738612
2017-06-01,1178.050183504252,1161.465839317375,1194.3155402462055
2017-07-01,1285.9539928421432,1269.1598773527114,1302.1191319214333
2017-08-01,1285.4691328713607,1267.4513869679115,1301.5182779502609
2017-09-01,1176.4456534038661,1160.679023316968,1192.4377385593948
2017-10-01,1067.6089604149242,1051.2707153521555,1084.4658040309523
2017-11-01,1013.1768480638357,997.6944490931185,1030.5383259866053
2017-12-01,958.7980765522079,941.9131601169048,975.6789667098527
2018-01-01,1006.9907512598747,990.6837727999484,1023.6180964761021
2018-02-01,985.5669448641513,967.2382392593983,1002.8082190348731
2018-03-01,1005.7055460061861,989.013807926691,1022.2986090403875
2018-04-01,1059.3518366414517,1042.4598588375227,1077.079687726996
2018-05-01,1113.05661731056,1096.8166365573234,1131.1692121143722
2018-06-01,1220.5615268278934,1203.4644808900473,1236.508543443277
2018-07-01,1328.0382573702182,1309.638656462147,1344.1527527947342
2018-08-01,1327.9817026564601,1310.321836978607,1344.3046133274147
2018-09-01,1220.3140031347878,1202.7972821931528,1237.5355527713025
2018-10-01,1112.5230076670318,1095.7161297068474,1130.0026168909528
2018-11-01,1058.3923340015433,1041.7504608045897,1075.5608902778733
2018-12-01,1004.2527823867664,988.5348102011579,1019.8094759697877
2019-01-01,1049.8094183784622,1032.8581944911675,1067.6709681669545
2019-02-01,1027.8541870446047,1011.538439991481,1045.8169963052721
2019-03-01,1050.673719938704,1034.2184996334538,1067.5277400693528
2019-04-01,1104.2158146659579,1087.8296800310036,1120.5996647363113
2019-05-01,1157.9779067377963,1140.4511757711562,1174.8173975798036
2019-06-01,1265.0886532560924,1247.779683361826,1281.5157472145734
2019-07-01,1372.181237131155,1355.9518419540623,1389.7761334665804
2019-08-01,1372.524947866603,1356.3076265026723,1389.2473829654393
2019-09-01,1266.1945606899194,1249.1408856054527,1283.5690584755646
2019-10-01,1159.3914739163376,1141.7620212800794,1176.5662745745387
2019-11-01,1105.5276658905054,1089.4633399555962,1122.208899247396
2019-12-01,1051.524155044625,1034.5554833993249,1068.507958361797
2020-01-01,1094.3432667004843,1075.1473504847916,1110.4215291966277
2020-02-01,1071.8788249290649,1054.4904147771776,1090.4622537757116
2020-03-01,1095.534914959473,1078.6139265586146,1111.8895445584221
2020-04-01,1149.9973956139843,1131.94377938505,1166.7193314368888
2020-05-01,1204.2320667901492,1187.0776824318953,1221.9793313516636
2020-06-01,1313.160946121916,1296.9709424642979,1330.4410438003704
2020-07-01,1422.1855985895365,1405.1497822234255,1440.2200349147324
2020-08-01,1421.8255847558285,1404.4775698631813,1438.519946220061
2020-09-01,1312.0109660342275,1295.2944698295462,1329.618439173398
2020-10-01,1202.6696268638887,1185.1992177025872,1220.6027571204027
2020-11-01,1148.4549994223232,1131.4245508468573,1167.1488928845806
2020-12-01,1094.3667438924488,1076.6377837147168,1112.526782744852
2021-01-01,1145.7448515070892,1128.5430524722783,1162.6595548291639
2021-02-01,1125.6271330319828,1107.639627546487,1143.2679971357527
2021-03-01,1143.733855427476,1127.5676003102972,1160.8247417415698
2021-04-01,1198.1365019377577,1180.7343483418315,1214.9308433364663
2021-05-01,1252.4340043444984,1236.2202382192772,1269.993910919964
2021-06-01,1361.0183370510435,1342.3269925056468,1377.389520898361
2021-07-01,1469.6067360390243,1451.859562118689,1486.9204429704764
2021-08-01,1469.647107042178,1452.5409773572192,1487.8692441248365
